AREA,BECARIOS,ASISTENTES,ADJUNTOS,INDEPENDIENTES,PRINCIPALES,SUPERIORES
KA,2793,829,930,489,273,31
KB,2593,877,1132,767,339,98
KE,2096,524,809,692,286,66
KS,2565,616,1057,569,191,10
KT,198,84,138,78,29,3
