R 8850 0.060 0.060
R 8900 0.050 0.050
R 8950 0.040 0.040
R 9000 0.040 0.040
R 9050 0.030 0.030
R 9100 0.030 0.030
R 9150 0.020 0.020
R 9200 0.020 0.020
R 9250 0.020 0.020
R 9300 0.010 0.010
R 9350 0.010 0.010
R 9400 0.010 0.010
R 9450 0.010 0.010
R 9500 0.000 0.000
U 3000 0.000 0.000
U 3050 0.040 0.040
U 3100 0.100 0.100
U 3150 0.250 0.250
U 3200 0.610 0.610
U 3250 0.750 0.750
U 3300 0.840 0.840
U 3350 0.880 0.880
U 3400 0.930 0.930
U 3450 0.950 0.950
U 3500 0.970 0.970
U 3550 0.990 0.990
U 3600 1.000 1.000
U 3650 0.990 0.990
U 3700 0.970 0.970
U 3750 0.920 0.920
U 3800 0.730 0.730
U 3850 0.560 0.560
U 3900 0.360 0.360
U 3950 0.230 0.230
U 4000 0.050 0.050
U 4050 0.030 0.030
U 4100 0.010 0.010
U 4150 0.000 0.000
V 4600 0.000 0.000
V 4650 0.000 0.000
V 4700 0.010 0.010
V 4750 0.010 0.010
V 4800 0.020 0.020
V 4850 0.050 0.051
V 4900 0.110 0.112
V 4950 0.200 0.204
V 5000 0.380 0.388
V 5050 0.670 0.684
V 5100 0.780 0.796
V 5150 0.850 0.867
V 5200 0.910 0.929
V 5250 0.940 0.959
V 5300 0.960 0.980
V 5350 0.980 1.000
V 5400 0.980 1.000
V 5450 0.950 0.969
V 5500 0.870 0.888
V 5550 0.790 0.806
V 5600 0.720 0.735
V 5650 0.710 0.724
V 5700 0.690 0.704
V 5750 0.650 0.663
V 5800 0.620 0.633
V 5850 0.580 0.592
V 5900 0.520 0.531
V 5950 0.460 0.469
V 6000 0.400 0.408
V 6050 0.340 0.347
V 6100 0.290 0.296
V 6150 0.240 0.245
V 6200 0.200 0.204
V 6250 0.170 0.173
V 6300 0.140 0.143
V 6350 0.110 0.112
V 6400 0.080 0.082
V 6450 0.060 0.061
V 6500 0.050 0.051
V 6550 0.030 0.031
V 6600 0.020 0.020
V 6650 0.020 0.020
V 6700 0.010 0.010
V 6750 0.010 0.010
V 6800 0.010 0.010
V 6850 0.010 0.010
V 6900 0.010 0.010
V 6950 0.010 0.010
V 7000 0.010 0.010
V 7050 0.010 0.010
V 7100 0.010 0.010
V 7150 0.010 0.010
V 7200 0.010 0.010
V 7250 0.010 0.010
V 7300 0.010 0.010
V 7350 0.000 0.000
